Smiles,Standard Type,Standard Value,Standard Units,Mol,Label
COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(OCCCCN[N+]3(C)CCN(c4ccc(/C=C5\Cc6cc(OC)c(OC)cc6C5=O)cc4)CC3)cc1)C2.[Br-],IC50,0.0,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b77610>,1
O=C(CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b8dc40>,1
S=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x78970d557920>,1
S=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709bb1770>,1
O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709bb1700>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b9c190>,1
O=C(CCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709ba9b60>,1
O=C(CCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b8dcb0>,1
O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x78970d5578b0>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b8dd20>,1
O=C(CCCCCNc1c2c(nc3c(Cl)cccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b335a0>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709ae6dc0>,1
O=C(CCCCCNc1c2c(nc3ccc(F)cc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b33610>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b33680>,1
O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b9c0b0>,1
O=C(CCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b9c120>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709ae62d0>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709ae6e30>,1
O=C(CCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x78970dde1700>,1
O=C(CCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709bb0040>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cccc(Cl)c35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x789709ae6340>,1
O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x78970dde1690>,1
COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x78970d553840>,1
O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,5e-06,nM,<rdkit.Chem.rdchem.Mol object at 0x78970d5f85f0>,1
Cl.O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,IC50,0.006,nM,<rdkit.Chem.rdchem.Mol object at 0x78970d3f9070>,1
O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1c2ccccc2nc2ccccc12,IC50,0.0076,nM,<rdkit.Chem.rdchem.Mol object at 0x78970d653140>,1
O=C(CCCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,0.008,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b51770>,1
COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,IC50,0.01095,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b54ac0>,1
O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,IC50,0.01323,nM,<rdkit.Chem.rdchem.Mol object at 0x78970ddc75a0>,1
Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,IC50,0.01352,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b4a6c0>,1
O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,IC50,0.01415,nM,<rdkit.Chem.rdchem.Mol object at 0x789709b81e70>,1
